"ach","Acholi (maybe)","nplurals=2; plural=(n > 1)"
"af","Afrikaans","nplurals=2; plural=(n != 1)"
"ak","Akan","nplurals=2; plural=(n > 1)"
"am","Amharic","nplurals=2; plural=(n > 1)"
"an","Aragonese","nplurals=2; plural=(n != 1)"
"ar","Arabicnotes","nplurals=6; plural= n==0 ? 0 : n==1 ? 1 : n==2 ? 2 : n%100>=3 && n%100<=10 ? 3 : n%100>=11 ? 4 : 5"
"arn","Mapudungun","nplurals=2; plural=(n > 1)"
"ast","Asturian","nplurals=2; plural=(n != 1)"
"ay","Aymará","nplurals=1; plural=0"
"az","Azerbaijani","nplurals=2; plural=(n != 1)"
"be","Belarusian","nplurals=3; plural=(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2)"
"bg","Bulgarian","nplurals=2; plural=(n != 1)"
"bn","Bengali","nplurals=2; plural=(n != 1)"
"bo","Tibetan","nplurals=1; plural=0"
"br","Breton","nplurals=2; plural=(n > 1)"
"bs","Bosnian","nplurals=3; plural=(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2)"
"ca","Catalan","nplurals=2; plural=(n != 1)"
"cgg","Chiga","nplurals=1; plural=0"
"cs","Czech","nplurals=3; plural=(n==1) ? 0 : (n>=2 && n<=4) ? 1 : 2"
"csb","Kashubian","nplurals=3; n==1 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2"
"cy","Welsh","nplurals=4; plural= (n==1) ? 0 : (n==2) ? 1 : (n != 8 && n != 11) ? 2 : 3"
"da","Danish","nplurals=2; plural=(n != 1)"
"de","German","nplurals=2; plural=(n != 1)"
"dz","Dzongkha","nplurals=1; plural=0"
"el","Greek","nplurals=2; plural=(n != 1)"
"en","English","nplurals=2; plural=(n != 1)"
"eo","Esperanto","nplurals=2; plural=(n != 1)"
"es","Spanish","nplurals=2; plural=(n != 1)"
"et","Estonian","nplurals=2; plural=(n != 1)"
"eu","Basque","nplurals=2; plural=(n != 1)"
"fa","Persian","nplurals=1; plural=0"
"fi","Finnish","nplurals=2; plural=(n != 1)"
"fil","Filipino","nplurals=2; plural=n > 1"
"fo","Faroese","nplurals=2; plural=(n != 1)"
"fr","French","nplurals=2; plural=(n > 1)"
"fur","Friulian","nplurals=2; plural=(n != 1)"
"fy","Frisian","nplurals=2; plural=(n != 1)"
"ga","Irish","nplurals=5; plural=n==1 ? 0 : n==2 ? 1 : n<7 ? 2 : n<11 ? 3 : 4"
"gd","Scottish Gaelic","nplurals=4; plural=(n==1 || n==11) ? 0 : (n==2 || n==12) ? 1 : (n > 2 && n < 20) ? 2 : 3"
"gl","Galician","nplurals=2; plural=(n != 1)"
"gu","Gujarati","nplurals=2; plural=(n != 1)"
"gun","Gun","nplurals=2; plural = (n > 1)"
"ha","Hausa","nplurals=2; plural=(n != 1)"
"he","Hebrew","nplurals=2; plural=(n != 1)"
"hi","Hindi","nplurals=2; plural=(n != 1)"
"hy","Armenian","nplurals=1; plural=0"
"hr","Croatian","nplurals=3; plural=(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2)"
"hu","Hungarian","nplurals=2; plural=(n != 1)"
"ia","Interlingua","nplurals=2; plural=(n != 1)"
